Statistical profiling result from log_with_console.log, (11087 ticks, 34 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      3    0.0%    0.0%  LazyCompile: *dirname node:path:1275:10
      3    0.0%    0.0%  LazyCompile: *clearIncoming node:_http_server:749:23
      3    0.0%    0.0%  LazyCompile: *clearBuffer node:internal/streams/writable:529:21
      3    0.0%    0.0%  LazyCompile: *Readable.on node:internal/streams/readable:875:33
      3    0.0%    0.0%  LazyCompile: *Module._nodeModulePaths node:internal/modules/cjs/loader:629:37
      3    0.0%    0.0%  LazyCompile: *Long.negate /Users/victorvega/Documents/Desafio_1/Desafio16/node_modules/bson/lib/long.js:613:38
      3    0.0%    0.0%  LazyCompile: *FastBuffer node:internal/buffer:958:14
      3    0.0%    0.0%  Function: ^writevGeneric node:internal/stream_base_commons:122:23
      3    0.0%    0.0%  Function: ^writeHead node:_http_server:269:19
      3    0.0%    0.0%  Function: ^writeHead /Users/victorvega/Documents/Desafio_1/Desafio16/node_modules/on-headers/index.js:28:29
      3    0.0%    0.0%  Function: ^writeCommand /Users/victorvega/Documents/Desafio_1/Desafio16/node_modules/mongodb/lib/cmap/message_stream.js:40:17
      3    0.0%    0.0%  Function: ^value node:internal/console/constructor:258:20
      3    0.0%    0.0%  Function: ^processPromiseRejections node:internal/process/promises:197:34
      3    0.0%    0.0%  Function: ^append /Users/victorvega/Documents/Desafio_1/Desafio16/node_modules/vary/index.js:38:17
      3    0.0%    0.0%  Function: ^ObjectId /Users/victorvega/Documents/Desafio_1/Desafio16/node_modules/bson/lib/objectid.js:24:22
      3    0.0%    0.0%  Function: ^<anonymous> /Users/victorvega/Documents/Desafio_1/Desafio16/node_modules/mongodb/lib/cursor/abstract_cursor.js:428:42
      2    0.0%    0.0%  RegExp: y{1,4}
      2    0.0%    0.0%  RegExp: [|\\{}()[\]^$+*?.]
      2    0.0%    0.0%  LazyCompile: *writeU_Int32LE node:internal/buffer:690:24
      2    0.0%    0.0%  LazyCompile: *trim_prefix /Users/victorvega/Documents/Desafio_1/Desafio16/node_modules/express/lib/router/index.js:293:23
      2    0.0%    0.0%  LazyCompile: *toString node:buffer:782:46
      2    0.0%    0.0%  LazyCompile: *serializeLong /Users/victorvega/Documents/Desafio_1/Desafio16/node_modules/bson/lib/parser/serializer.js:302:23
      2    0.0%    0.0%  LazyCompile: *removeListener node:events:687:28
      2    0.0%    0.0%  LazyCompile: *readSync node:fs:684:18
      2    0.0%    0.0%  LazyCompile: *parse /Users/victorvega/Documents/Desafio_1/Desafio16/node_modules/mongodb/lib/cmap/commands.js:426:10
      2    0.0%    0.0%  LazyCompile: *ondata node:internal/streams/readable:752:18
      2    0.0%    0.0%  LazyCompile: *now /Users/victorvega/Documents/Desafio_1/Desafio16/node_modules/mongodb/lib/utils.js:571:13
      2    0.0%    0.0%  LazyCompile: *isDate /Users/victorvega/Documents/Desafio_1/Desafio16/node_modules/bson/lib/parser/utils.js:86:16
      2    0.0%    0.0%  LazyCompile: *initAsyncResource node:internal/timers:157:27
